id,career_family,career,institution,location,institution_type,management_type,duration_years,annual_cost,admission_rate,monthly_income,scholarships,admitted,applicants,enrolled,duration_imputed_flag,monthly_income_imputed_flag,annual_cost_imputed_flag,admission_rate_imputed_flag,duration_years_imputed,monthly_income_imputed,annual_cost_imputed,admission_rate_imputed,income_score,admission_score,cost_score,duration_score
649,Contabilidad y Finanzas,Contabilidad,Cesca Arequipa,Arequipa     ,Instituto,Privada,3.0,,0.0,0.0,SI,0.0,0.0,0.0,False,True,True,True,3.0,1729.5,300.0,83.0,0.1192912639757438,0.0033794788273615634,0.9907777436212727,0.9811320754716981
650,Ciencias de la Computación,Computación e Informática,Cesca Arequipa,Arequipa     ,Instituto,Privada,3.0,,0.0,0.0,SI,0.0,0.0,0.0,False,True,True,True,3.0,2156.0,300.0,89.0,0.20011370096645822,0.0036237785016286646,0.9907777436212727,0.9811320754716981
651,Ingeniería Electrónica,Electrónica Industrial,Cesca Arequipa,Arequipa     ,Instituto,Privada,3.0,,0.0,0.0,SI,0.0,0.0,0.0,False,True,True,True,3.0,1819.0,300.0,95.0,0.13625165813909418,0.0038680781758957655,0.9907777436212727,0.9811320754716981
652,Administración de Empresas,Administración de Empresas,Cesde (Centro de enseñanza Superior para el Desarrollo),Ayacucho     ,Instituto,Privada,3.0,,89.0,0.0,SI,160.0,178.0,686.0,False,True,True,False,3.0,1985.0,1665.0,89.0,0.16770892552586697,0.0036237785016286646,0.9488164770980634,0.9811320754716981
653,Marketing,Marketing,Cesde (Centro de enseñanza Superior para el Desarrollo),Ayacucho     ,Instituto,Privada,3.0,,94.0,0.0,SI,34.0,36.0,46.0,False,True,True,False,3.0,1915.0,3482.0,94.0,0.15444381277240857,0.003827361563517915,0.8929603442975714,0.9811320754716981
654,Secretariado,Secretariado Ejecutivo,Cesde (Centro de enseñanza Superior para el Desarrollo),Ayacucho     ,Instituto,Privada,3.0,,96.0,0.0,SI,48.0,50.0,169.0,False,True,True,False,3.0,1660.0,880.0,96.0,0.10612090202766723,0.003908794788273616,0.9729480479557332,0.9811320754716981
655,Contabilidad y Finanzas,Contabilidad,Cesde (Centro de enseñanza Superior para el Desarrollo),Ayacucho     ,Instituto,Privada,3.0,,98.0,2037.0,SI,280.0,285.0,1146.0,False,False,True,False,3.0,2037.0,300.0,98.0,0.17756300928557892,0.003990228013029316,0.9907777436212727,0.9811320754716981
656,Ciencias de la Computación,Computación e Informática,Cesde (Centro de enseñanza Superior para el Desarrollo),Ayacucho     ,Instituto,Privada,3.0,,94.0,0.0,SI,64.0,68.0,180.0,False,True,True,False,3.0,2156.0,300.0,94.0,0.20011370096645822,0.003827361563517915,0.9907777436212727,0.9811320754716981
657,Negocios Internacionales,Administración de Negocios Internacionales,Cessag,Lima         ,Instituto,Privada,3.0,,0.0,0.0,SI,0.0,0.0,0.0,False,True,True,True,3.0,2001.0,2200.0,92.5,0.17074095129808603,0.00376628664495114,0.9323701198893329,0.9811320754716981
658,Ciencias de la Computación,Computación e Informática,Cessag,Lima         ,Instituto,Privada,3.0,,0.0,0.0,SI,0.0,0.0,0.0,False,True,True,True,3.0,2156.0,300.0,89.0,0.20011370096645822,0.0036237785016286646,0.9907777436212727,0.9811320754716981
659,Administración de Empresas,Administración de Empresas,Cetcoi,Cusco        ,Instituto,Privada,3.0,1800.0,60.0,0.0,SI,30.0,50.0,56.0,False,True,False,False,3.0,1985.0,1800.0,60.0,0.16770892552586697,0.0024429967426710096,0.944666461727636,0.9811320754716981
660,Contabilidad y Finanzas,Contabilidad,Cetcoi,Cusco        ,Instituto,Privada,3.0,1800.0,74.0,0.0,SI,23.0,31.0,58.0,False,True,False,False,3.0,1729.5,1800.0,74.0,0.1192912639757438,0.003013029315960912,0.944666461727636,0.9811320754716981
661,Ingeniería Eléctrica,Electrotécnia Industrial,Cetemin,Lima         ,Instituto,Privada,3.0,6000.0,0.0,0.0,SI,0.0,0.0,0.0,False,True,False,True,3.0,3655.0,6000.0,95.5,0.48417661550123176,0.0038884364820846906,0.8155548724254534,0.9811320754716981
662,"Ingeniería Minera, Metalurgia y Petróleo",Explotación Minera,Cetemin,Lima         ,Instituto,Privada,3.0,6000.0,0.0,0.0,SI,0.0,0.0,0.0,False,True,False,True,3.0,4982.0,6000.0,81.0,0.7356452529846503,0.003298045602605863,0.8155548724254534,0.9811320754716981
663,"Ingeniería Minera, Metalurgia y Petróleo",Metalurgia,Cetemin,Lima         ,Instituto,Privada,3.0,6000.0,0.0,0.0,SI,0.0,0.0,0.0,False,True,False,True,3.0,4982.0,6000.0,81.0,0.7356452529846503,0.003298045602605863,0.8155548724254534,0.9811320754716981
664,"Administración de Servicios Turísticos, Hotelería y Gastronomía",Administración de Servicios de Hostelería,Ceturgh Perú,Piura        ,Instituto,Privada,3.0,,91.0,0.0,SI,103.0,113.0,470.0,False,True,True,False,3.0,2087.0,2200.0,91.0,0.1870380898237635,0.003705211726384365,0.9323701198893329,0.9811320754716981
665,"Administración de Servicios Turísticos, Hotelería y Gastronomía",Gastronomía y Arte Culinario,Ceturgh Perú,Piura        ,Instituto,Privada,3.0,,96.0,0.0,SI,248.0,258.0,765.0,False,True,True,False,3.0,2087.0,2200.0,96.0,0.1870380898237635,0.003908794788273616,0.9323701198893329,0.9811320754716981
666,"Administración de Servicios Turísticos, Hotelería y Gastronomía",Administración de Servicios de Hostelería,Cevatur - Iquitos,Loreto       ,Instituto,Privada,3.0,430.0,28.0,0.0,SI,14.0,50.0,30.0,False,True,False,False,3.0,2087.0,430.0,28.0,0.1870380898237635,0.0011400651465798045,0.9867814325238241,0.9811320754716981
667,Turismo,Guía Oficial de Turismo,Cevatur - Iquitos,Loreto       ,Instituto,Privada,3.0,430.0,48.0,0.0,SI,24.0,50.0,47.0,False,True,False,False,3.0,1672.5,430.0,48.0,0.10848967216221338,0.001954397394136808,0.9867814325238241,0.9811320754716981
668,"Administración de Servicios Turísticos, Hotelería y Gastronomía",Administración de Hostelería,Cevatur- Arequipa,Arequipa     ,Instituto,Privada,3.0,3000.0,83.0,0.0,NO,10.0,12.0,35.0,False,True,False,False,3.0,2087.0,3000.0,83.0,0.1870380898237635,0.0033794788273615634,0.9077774362127267,0.9811320754716981
